Embryological_type,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut
hsa-miR-145(1),-8.274794695,-5.771812706,-9.310250184,-6.505830636,-6.075296734,-5.775404573,-6.469326537,-5.973111916,-10.68733319,-5.833465406,-6.44626037,-8.189368624,-8.624916134,-6.766723065,-7.676297701,-7.501729032,-7.230823698,-6.854839804,-8.039930282,-8.754939117,-8.226584677,-6.715638246,-7.55245965,-8.717580408,-7.696878053,-8.119077564,-8.276648415,-7.117532725,-7.283739173,-8.772040922,-7.677994052,-7.259336616,-8.873633013,-10.26877026,-9.415926874,-6.929873096,-7.518790748,-9.801104829,-9.919284843,-9.334042051,-8.255444878,-9.746428013,-10.22620747,-9.206140958,-8.464872632,-8.917401605,-8.44839318,-7.19130693,-10.52789182,-9.699211204,-8.550663292,-7.435307717,-8.068012968,-7.449951756,-10.07646806,-10.28841226,-8.928868158
hsa-miR-10b(1),-5.903063043,-7.484178958,-8.038730945,-7.770700049,-8.27390445,-8.634578968,-7.105267173,-6.524026342,-6.128127492,-7.739491559,-7.954412812,-9.01466727,-9.349993237,-9.820517689,-10.75770908,-9.009810924,-8.632013086,-9.22129765,-8.599246644,-6.778344316,-11.67366692,-10.98724011,-10.94477653,-11.03029135,-11.76401996,-12.07901409,-11.1060087,-8.382761589,-7.002621668,-9.596208364,-10.56335242,-10.47979904,-8.930000632,-9.162315028,-9.870437733,-9.059779583,-9.250143023,-9.85074971,-10.45985272,-10.90915637,-10.07835104,-10.10374954,-9.493619921,-11.13606135,-11.81279357,-6.707824758,-9.7260612,-10.14708912,-10.83227073,-11.87853328,-8.421812366,-9.16773211,-7.134481196,-10.96581602,-13.62231961,-10.77659607,-12.49052504
hsa-miR-376c(1),-12.5994783,-11.74455803,-14.68364106,-13.35413974,-12.48847584,-11.79301005,-12.95556015,-13.20069769,-15.15020886,-12.3981999,-15.26481198,-11.58564444,-17.0855768,-13.76766736,-10.3344043,-15.23668838,-15.95887592,-14.13196315,-11.96381779,-12.82235429,-16.67304964,-15.38313194,-14.40487372,-15.53239748,-15.60244497,-16.74728827,-14.23947619,-13.51034527,-12.75889105,-14.63511116,-13.73386041,-13.53753467,-10.81021378,-11.51518903,-11.41881626,-9.139555946,-12.07232577,-11.12540887,-9.831821015,-9.288713597,-9.41905623,-8.968820744,-11.49801234,-10.88551958,-11.24277276,-8.564199142,-10.77672262,-12.01736285,-12.10478495,-9.371001674,-13.30659039,-13.0288317,-12.008675,-13.16891413,-14.88717445,-14.7066022,-13.19096476
hsa-miR-181a(2),-11.90212121,-11.16024418,-15.36475342,-10.45983037,-11.03596602,-9.076801459,-8.720086622,-11.31142574,-12.9857034,-9.256021652,-9.780907355,-9.073424347,-11.08639532,-9.531588964,-10.81033295,-9.876950686,-10.22934912,-9.407439252,-10.87071055,-11.7421245,-10.54438484,-10.2391745,-11.23428473,-11.06131483,-10.65394408,-10.15540535,-9.412611565,-10.65292862,-11.00189591,-10.2371863,-9.209714898,-9.836128029,-7.06012724,-8.984299109,-8.970598647,-8.282849235,-8.62585563,-8.164747342,-9.275427983,-9.097601682,-8.677059558,-8.739085874,-9.506344272,-8.186688913,-7.977606789,-7.313393705,-9.029639749,-6.406533063,-9.398666257,-7.857473613,-8.473022513,-10.64163961,-9.898805118,-8.819806259,-11.1750456,-11.06512727,-11.19096139
hsa-miR-196b(1),-9.092120678,-10.63764866,-12.64089536,-11.98621253,-11.01989496,-10.74238151,-10.63796358,-10.34904079,-8.929150138,-10.88310077,-8.640503226,-9.30615834,-15.08858974,-14.62050147,-18.98296772,-11.61006884,-12.20693876,-16.48531234,-10.69638243,-10.3638216,-29.89735285,-17.51472883,-10.88064792,-19.83395777,-19.15757224,-10.47319272,-13.60244497,-11.2962894,-9.441614267,-9.041010918,-29.89735285,-11.21171091,-17.37085361,-19.59814484,-17.86461833,-17.51472883,-18.63878682,-20.9258093,-29.89735285,-29.89735285,-14.17134762,-29.89735285,-21.02698813,-29.89735285,-29.89735285,-17.11190039,-16.75205752,-16.63291025,-13.1270503,-14.96809445,-29.89735285,-11.4848657,-10.93783761,-12.33612458,-13.68934717,-10.83357071,-12.10350192
hsa-miR-204(1),-13.17694826,-15.11907034,-13.5154044,-12.11401566,-13.82933038,-11.27843688,-13.37697972,-11.93269048,-9.809304824,-11.96270022,-9.075492474,-11.76826609,-12.22841248,-9.855818021,-9.763167217,-7.765150934,-9.250702741,-8.535220671,-12.36821211,-10.97095261,-11.38826603,-11.18604214,-9.880646564,-8.793222524,-9.216940101,-9.350991532,-8.936084757,-11.21268983,-9.244222632,-10.1653892,-11.92592157,-9.954091148,-15.23668838,-18.13663291,-10.22779647,-10.48660547,-8.930155449,-13.52048134,-14.91810631,-13.9383471,-16.67304964,-9.547356831,-10.36727806,-12.74611825,-29.89735285,-9.688475531,-11.30194238,-15.03432814,-12.64336691,-29.89735285,-13.19313848,-14.98671012,-11.981036,-10.82258942,-14.62050147,-17.87498504,-13.38313194
hsa-miR-154-5p(1),-16.86289776,-15.84410573,-29.89735285,-16.83902283,-16.73622097,-14.01509192,-13.95658046,-18.00937072,-19.34660607,-14.56699614,-18.14497221,-16.90299942,-29.89735285,-17.93880014,-15.28195311,-17.04209503,-19.35625624,-17.05775537,-14.86979237,-17.77776323,-29.89735285,-16.7066022,-29.89735285,-21.27530103,-19.15757224,-17.43843365,-17.41051783,-29.89735285,-29.89735285,-18.49860916,-29.89735285,-16.90653977,-13.46070637,-12.72120893,-13.73779683,-11.90262376,-14.08357166,-14.49860916,-29.89735285,-13.52387592,-13.61506075,-13.27367137,-16.63291025,-15.40800661,-13.68744263,-11.9599503,-13.41586873,-13.82304411,-13.96578428,-13.15864042,-15.58816075,-18.8819378,-16.40800661,-17.00937072,-16.82723191,-29.89735285,-29.89735285
hsa-miR-136-3p(1),-14.12679219,-13.24933239,-16.68516048,-13.80434802,-14.41429288,-13.60065169,-14.35262986,-13.56000971,-16.28771238,-15.05382432,-17.48266762,-15.04892552,-18.08758473,-16.15546458,-12.06911718,-18.04014938,-18.42567764,-16.00556915,-13.75564483,-14.09614973,-29.89735285,-15.98671012,-15.40174762,-17.61252875,-16.39551567,-17.0518628,-15.60244497,-16.48531234,-17.37575241,-15.34060733,-13.73386041,-15.68364106,-15.69125424,-14.12937535,-13.4590808,-11.18332875,-14.38931052,-12.96521886,-11.01239238,-10.93890492,-11.21386473,-8.926509701,-13.34660607,-11.16115244,-12.95029813,-10.4474808,-12.45756254,-14.11650555,-13.24150074,-11.57368232,-13.49860916,-13.79816944,-12.90435921,-16.68820414,-16.18740747,-15.65358382,-10.94303441
hsa-miR-376a-A6G-3p(2),-13.49360848,-12.73206308,-29.89735285,-14.83986874,-13.2769755,-12.79301005,-12.8744866,-13.88280926,-18.60964047,-12.47824031,-15.63144484,-13.13134165,-15.76164357,-14.7221152,-11.08370003,-15.23668838,-16.19821423,-14.25349666,-12.71906732,-13.43651304,-15.67606784,-15.51202968,-13.81886844,-16.16603382,-15.56699614,-16.70198065,-14.94971592,-14.08607852,-13.85903397,-14.63511116,-29.89735285,-13.75564483,-11.45136001,-12.10021065,-12.95835912,-11.17242938,-13.53582024,-12.16147956,-12.11193232,-11.71651129,-9.79473506,-10.47849552,-12.68492297,-12.62527898,-12.53670292,-10.10993169,-11.16584156,-12.07248732,-13.13513953,-10.8227671,-13.31244906,-14.10629174,-12.51095985,-13.15952458,-14.83986874,-15.53925115,-14.97272589
hsa-miR-92a(2),-8.247064071,-9.647950013,-10.1154345,-7.763018039,-7.972364613,-6.835491734,-7.061926534,-8.240728107,-6.79952614,-8.218261108,-8.804583456,-7.698961171,-7.552734836,-8.760628278,-8.812711829,-7.261858569,-9.233848604,-9.049533903,-9.115821843,-10.44400585,-9.731152986,-8.47266115,-9.234283859,-8.122978788,-8.656534742,-9.099304333,-8.264291562,-7.17322104,-8.854028467,-9.092504963,-8.393426693,-8.507301484,-6.649219266,-8.796067688,-8.794861284,-8.390887878,-7.447258462,-7.27385734,-6.805542051,-7.839749419,-6.942736745,-7.50522623,-6.066294525,-6.387638608,-8.148106185,-8.195942739,-6.728139195,-8.215931694,-6.538586978,-8.72130148,-7.07775182,-5.720397999,-5.88003341,-8.052627171,-7.735754393,-8.061471297,-8.2435889
